"","Sample","uniquely_mapped","uniquely_mapped_percent","Run"
"468","RNA022975",9509839,47.98,"Run582"
"469","RNA022976",10377791,51.54,"Run582"
"470","RNA022977",12104738,61.29,"Run582"
"471","RNA022978",10024078,45.58,"Run582"
"472","RNA022979",9013503,47.43,"Run582"
"473","RNA022980",9931638,61.54,"Run582"
"474","RNA022981",9136860,48.13,"Run582"
"475","RNA022982",12004686,55.84,"Run582"
"476","RNA022983",9558731,59.98,"Run582"
"477","RNA022984",9373280,55.79,"Run582"
"478","RNA022985",8670979,47.85,"Run582"
"479","RNA022986",5711026,36.8,"Run582"
"480","RNA022987",5812191,33.84,"Run582"
"481","RNA022988",8356974,35.13,"Run582"
"482","RNA022989",8189197,43.64,"Run582"
"483","RNA022990",67880962,52.3,"Run582"
"484","RNA022991",10877853,54.5,"Run582"
"485","RNA022992",12410332,60.11,"Run582"
"486","RNA022993",10811032,57.33,"Run582"
"487","RNA022994",10560305,53.41,"Run582"
"488","RNA022995",7553264,40.38,"Run582"
"489","RNA022996",10061590,49.32,"Run582"
"490","RNA022997",9864702,47.74,"Run582"
"491","RNA022998",10098572,53.12,"Run582"
"492","RNA023191",11971563,65.22,"Run588"
"493","RNA023192",11006762,54.75,"Run588"
"494","RNA023193",8996427,55.59,"Run588"
"495","RNA023194",10048943,51.74,"Run588"
"496","RNA023195",9289874,56.08,"Run588"
"497","RNA023196",10004857,60.1,"Run588"
"498","RNA023198",10573867,66.89,"Run588"
"499","RNA023199",8861597,53.81,"Run588"
"500","RNA023200",9542684,54.2,"Run588"
"501","RNA023201",8725732,63.96,"Run588"
"502","RNA023202",13173077,65.84,"Run588"
"503","RNA023203",14366524,69.36,"Run588"
"504","RNA023204",11371838,71.02,"Run588"
"505","RNA023205",9683737,53.42,"Run588"
"506","RNA023206",9277613,61.2,"Run588"
"507","RNA023207",8258171,52.09,"Run588"
"508","RNA023208",11350891,65.26,"Run588"
"509","RNA023209",14685719,69.34,"Run588"
"510","RNA023210",13433207,73.36,"Run588"
"511","RNA023211",15803433,74.89,"Run588"
"512","RNA023212",11279535,69.26,"Run588"
"513","RNA023213",13060722,74.21,"Run588"
"514","RNA023214",14003982,74.63,"Run588"
"515","RNA023215",12797000,66.89,"Run588"
"516","RNA023216",12188361,65.32,"Run588"
"517","RNA023217",12755258,58.64,"Run588"
"518","RNA023218",11097647,53.05,"Run588"
"519","RNA023219",10643043,53.34,"Run588"
"520","RNA023220",4566177,27,"Run588"
"521","RNA023221",10421326,66.64,"Run588"
"522","RNA023222",13632643,69.88,"Run588"
"523","RNA023223",10636786,63.46,"Run588"
"524","RNA023224",11294755,62.73,"Run588"
"525","RNA023225",17181698,68.73,"Run588"
"526","RNA023226",7472583,42.7,"Run588"
"527","RNA023227",11907430,64.02,"Run588"
"528","RNA023228",12975079,69.81,"Run588"
"529","RNA023229",12360532,68.35,"Run588"
"530","RNA023230",46731382,65.2,"Run588"
"531","RNA023231",13183668,66.91,"Run588"
"532","RNA023232",11269278,60.96,"Run588"
"533","RNA023233",10136810,53.94,"Run588"
"534","RNA023234",11610828,60.47,"Run588"
"535","RNA023235",12758466,62.66,"Run588"
"536","RNA023236",11625789,64.66,"Run588"
"537","RNA023237",12169205,65.18,"Run588"
"538","RNA023238",9013502,59.4,"Run588"
"539","RNA023239",9640202,60.74,"Run588"
"540","RNA023240",12332915,64.26,"Run588"
"541","RNA023241",11090468,52.47,"Run588"
"542","RNA023242",11142928,63.53,"Run588"
"543","RNA023243",13661077,68.81,"Run588"
"544","RNA023244",12631092,62.18,"Run588"
"545","RNA023245",10076924,72.7,"Run588"
"546","RNA023246",10628676,62.21,"Run588"
"547","RNA023247",10935854,59.56,"Run588"
"548","RNA023248",9148690,47.86,"Run588"
"549","RNA023249",10451379,62.89,"Run588"
"550","RNA023250",11864432,60.32,"Run588"
"551","RNA023252",13005733,68.24,"Run588"
"552","RNA023253",11742294,63.58,"Run588"
"553","RNA023254",13042252,70.78,"Run588"
"554","RNA023255",8411662,54.26,"Run588"
"555","RNA023256",11330119,67.57,"Run588"
"556","RNA023257",11546353,55.41,"Run588"
"557","RNA023258",10452042,57.45,"Run588"
"558","RNA023259",11769725,63.33,"Run588"
"559","RNA023260",12789348,71.58,"Run588"
"560","RNA023261",4576559,23.05,"Run588"
"561","RNA023262",10259970,60.12,"Run588"
"562","RNA023263",10363752,52.08,"Run588"
"563","RNA023264",12102545,61.31,"Run588"
"564","RNA023265",11176791,64.27,"Run588"
"565","RNA023266",13614828,65.46,"Run588"
"566","RNA023267",12863090,66.37,"Run588"
"567","RNA023268",11953660,58.99,"Run588"
"568","RNA023269",15564547,71.01,"Run588"
"569","RNA023270",13618080,69.84,"Run588"
"570","RNA023271",14561362,62.53,"Run588"
"571","RNA023272",11226777,57.36,"Run588"
"572","RNA023273",11242375,66.72,"Run588"
"573","RNA023274",10867659,58.21,"Run588"
"574","RNA023275",10450729,52.53,"Run588"
"575","RNA023276",11710255,62.24,"Run588"
"576","RNA023277",11099178,73.59,"Run588"
"577","RNA023278",14883453,71.17,"Run588"
"578","RNA023279",9613417,48.32,"Run588"
"579","RNA023280",10018843,57.75,"Run588"
"580","RNA023281",11171130,62.79,"Run588"
"581","RNA023282",11766047,61.43,"Run588"
"582","RNA023283",12192114,71.28,"Run588"
"583","RNA023284",10355620,65.88,"Run588"
"584","RNA023285",10830188,61.64,"Run588"
"585","RNA023286",12278278,66.04,"Run588"
"586","RNA023287",12670379,59.98,"Run588"
"587","RNA023288",11081744,56.61,"Run588"
"588","RNA023289",9732843,50.87,"Run588"
"589","RNA023290",9403441,51.76,"Run588"
"590","RNA023291",11114223,56.19,"Run588"
"591","RNA023292",12778951,62.29,"Run588"
"592","RNA023293",11551301,60.19,"Run588"
"593","RNA023294",14922451,64.15,"Run588"
"594","RNA023295",10863302,54.01,"Run588"
"595","RNA023296",10773970,52.1,"Run588"
"596","RNA023297",10253298,52.57,"Run588"
"597","RNA023298",13601655,60.89,"Run588"
"598","RNA023299",13625032,55.47,"Run588"
"599","RNA023300",12856335,59.12,"Run588"
"600","RNA023301",14694040,62.69,"Run588"
"601","RNA023302",11665401,54.43,"Run588"
"602","RNA023303",9030950,52.92,"Run588"
"603","RNA023304",8813100,48.29,"Run588"
"604","RNA023305",15761242,64.6,"Run588"
"605","RNA023306",11328206,60.47,"Run588"
"606","RNA023307",13084223,69.04,"Run588"
"607","RNA023308",9379409,44.59,"Run588"
"608","RNA023309",10262160,52.03,"Run588"
"609","RNA023310",10687280,53.47,"Run588"
"610","RNA023311",10769239,57.82,"Run588"
"611","RNA023312",10776029,63.26,"Run588"
"612","RNA023313",3293302,24.93,"Run588"
"613","RNA023314",10414000,53.99,"Run588"
"614","RNA023315",11055526,54.34,"Run588"
"615","RNA023316",13169951,58.27,"Run588"
"616","RNA023317",12065810,54.19,"Run588"
"617","RNA023318",10689141,56.37,"Run588"
"618","RNA023319",10502034,57.89,"Run588"
"619","RNA023320",9007140,29.67,"Run588"
"620","RNA023321",14087347,65.52,"Run588"
"621","RNA023322",12907321,52.47,"Run588"
"622","RNA023323",12756513,70.51,"Run588"
"623","RNA023324",12303191,54.84,"Run588"
"624","RNA023325",12255955,53.74,"Run588"
"625","RNA023326",12245841,51.12,"Run588"
"626","RNA023327",12511708,57.15,"Run588"
"627","RNA023328",9460067,56.84,"Run588"
"628","RNA023329",10019455,57.51,"Run588"
"629","RNA023330",11299568,56.59,"Run588"
"630","RNA023331",9077867,48.3,"Run588"
"631","RNA023332",16869602,62.93,"Run588"
"632","RNA023333",11043783,56.93,"Run588"
"633","RNA023334",10441817,47.74,"Run588"
"634","RNA023335",9991982,55.76,"Run588"
"635","RNA023336",10841530,53.67,"Run588"
"636","RNA023337",12741270,57.06,"Run588"
"637","RNA023338",14679959,62.18,"Run588"
"638","RNA023339",10013980,47.39,"Run588"
"639","RNA023340",12017732,53.62,"Run588"
"640","RNA023341",10962297,58.68,"Run588"
"641","RNA023342",14113445,62.98,"Run588"
"642","RNA023343",12305914,63.1,"Run588"
"643","RNA023344",12638790,55.18,"Run588"
"644","RNA023345",10745969,59.34,"Run588"
"645","RNA023346",12348230,55.66,"Run588"
"646","RNA023347",11679655,59.82,"Run588"
"647","RNA023348",4061842,21.55,"Run588"
"648","RNA023349",10277883,54.89,"Run588"
"649","RNA023350",11920540,50.42,"Run588"
"650","RNA023351",11207570,60.13,"Run588"
"651","RNA023352",13109049,56.54,"Run588"
"652","RNA023353",11783860,64.75,"Run588"
"653","RNA023354",11724558,61.65,"Run588"
"654","RNA023355",11475338,53.84,"Run588"
"655","RNA023356",10200443,47.5,"Run588"
"656","RNA023357",10057122,51.29,"Run588"
"657","RNA023358",10395035,45.78,"Run588"
"658","RNA023359",13921915,66.02,"Run588"
"659","RNA023360",12312423,53.07,"Run588"
"660","RNA023361",12181913,65.57,"Run588"
"661","RNA023362",10482210,49.87,"Run588"
"662","RNA023363",10234086,50.2,"Run588"
"663","RNA023364",9368373,45.77,"Run588"
"664","RNA023365",15517227,64.2,"Run588"
"665","RNA023366",14873346,57.45,"Run588"
"666","RNA023367",9680465,53.6,"Run588"
"667","RNA023368",10071295,52.59,"Run588"
"668","RNA023369",11505884,50,"Run588"
"669","RNA023370",12829342,58.08,"Run588"
"670","RNA023371",7911793,36.69,"Run588"
"671","RNA023372",12542633,52.16,"Run588"
"672","RNA023373",9205718,49.02,"Run588"
"673","RNA023374",13372950,64.93,"Run588"
"674","RNA023375",9261899,43.14,"Run588"
"675","RNA023376",9885079,43.25,"Run588"
"676","RNA023377",7188148,40.19,"Run588"
"677","RNA023378",11444099,54.59,"Run588"
"678","RNA023379",11013923,53.13,"Run588"
"679","RNA023380",8723486,44.4,"Run588"
"680","RNA023381",10760141,51.68,"Run588"
"681","RNA023382",9442397,45.28,"Run588"
"682","RNA023383",10288458,49.01,"Run590"
"683","RNA023384",11396865,59.89,"Run590"
"684","RNA023385",10394210,62.97,"Run590"
"685","RNA023386",14532576,69.83,"Run590"
"686","RNA023387",11223234,58,"Run590"
"687","RNA023388",10876286,60.02,"Run590"
"688","RNA023389",15842560,68.82,"Run590"
"689","RNA023390",10727484,58.62,"Run590"
"690","RNA023391",11245474,59.52,"Run590"
"691","RNA023392",13813607,57.48,"Run590"
"692","RNA023393",8055219,43.74,"Run590"
"693","RNA023394",11119713,52.53,"Run590"
"694","RNA023395",10315250,47.3,"Run590"
"695","RNA023396",10284743,52.53,"Run590"
"696","RNA023397",10616466,52.03,"Run590"
"697","RNA023398",10241017,55.53,"Run590"
"698","RNA023399",11209987,60.95,"Run590"
"699","RNA023400",12168724,59.31,"Run590"
"700","RNA023401",11302047,54.81,"Run590"
"701","RNA023402",12111696,59.19,"Run590"
"702","RNA023403",13802636,55.99,"Run590"
"703","RNA023404",10632526,54.51,"Run590"
"704","RNA023405",12215819,58.21,"Run590"
"705","RNA023406",12061879,60.15,"Run590"
"706","RNA023407",11594562,62.29,"Run590"
"707","RNA023408",9682914,47.78,"Run590"
"708","RNA023409",13219048,61.97,"Run590"
"709","RNA023410",13830675,62.39,"Run590"
"710","RNA023411",9465022,49.49,"Run590"
"711","RNA023412",10512521,60.69,"Run590"
"712","RNA023413",11741240,60.88,"Run590"
"713","RNA023414",10522891,57.93,"Run590"
"714","RNA023415",8998979,46.61,"Run590"
"715","RNA023416",12118344,57.02,"Run590"
"716","RNA023417",13073839,65.02,"Run590"
"717","RNA023418",9297295,45.89,"Run590"
"718","RNA023419",13474325,62.33,"Run590"
"719","RNA023420",10851373,61.26,"Run590"
"720","RNA023421",13103364,62.55,"Run590"
"721","RNA023422",8973252,48.14,"Run590"
"722","RNA023423",9904993,54.4,"Run590"
"723","RNA023424",10812674,40.14,"Run590"
"724","RNA023425",9744884,49.53,"Run590"
"725","RNA023426",8302758,49.67,"Run590"
"726","RNA023427",10552673,57.02,"Run590"
"727","RNA023428",10995930,62.54,"Run590"
"728","RNA023429",12171006,58.43,"Run590"
"729","RNA023430",9794646,59.04,"Run590"
"730","RNA023431",10410476,60.34,"Run590"
"731","RNA023432",10200044,54.53,"Run590"
"732","RNA023433",7348887,31.88,"Run590"
"733","RNA023434",7296378,45.58,"Run590"
"734","RNA023435",10962891,57.84,"Run590"
"735","RNA023436",9814541,53.92,"Run590"
"736","RNA023437",8355603,56.56,"Run590"
"737","RNA023438",11622819,56.82,"Run590"
"738","RNA023439",14224958,66.7,"Run590"
"739","RNA023440",10978815,61.46,"Run590"
"740","RNA023441",10588517,67.46,"Run590"
"741","RNA023442",10111724,48.52,"Run590"
"742","RNA023443",6435783,32.84,"Run590"
"743","RNA023444",9584761,49.74,"Run590"
"744","RNA023445",8877696,49.32,"Run590"
"745","RNA023446",6532320,46.59,"Run590"
"746","RNA023447",9336445,53.5,"Run590"
"747","RNA023448",10461970,62.2,"Run590"
"748","RNA023449",10329783,53.69,"Run590"
"749","RNA023450",9702706,53.61,"Run590"
"750","RNA023451",9318950,55.13,"Run590"
"751","RNA023452",9841630,51.76,"Run590"
"752","RNA023453",10992457,55.59,"Run590"
"753","RNA023454",10365673,53.68,"Run590"
"754","RNA023455",10141228,53.57,"Run590"
"755","RNA023456",10517200,50.43,"Run590"
"756","RNA023457",8433190,44,"Run590"
"757","RNA023458",12071360,52.88,"Run590"
"758","RNA023459",14749090,72.78,"Run590"
"759","RNA023460",15924820,77.68,"Run590"
"760","RNA023461",10215196,52.95,"Run590"
"761","RNA023462",12059334,63.82,"Run590"
"762","RNA023463",12705318,57.92,"Run590"
"763","RNA023464",11413486,57.04,"Run590"
"764","RNA023465",7508435,37.44,"Run590"
"765","RNA023466",11218792,48.91,"Run590"
"766","RNA023467",12647436,59.81,"Run590"
"767","RNA023468",10983823,53.64,"Run590"
"768","RNA023469",10102409,54.23,"Run590"
"769","RNA023470",10381892,52.74,"Run590"
"770","RNA023471",11029455,56.37,"Run590"
"771","RNA023472",9998203,59.21,"Run590"
"772","RNA023473",10467194,54.71,"Run590"
"773","RNA023474",7913964,43.98,"Run590"
"774","RNA023475",14184133,58.15,"Run590"
"775","RNA023476",9288899,54.5,"Run590"
"776","RNA023477",11217333,63.85,"Run590"
"777","RNA023478",10529372,50.08,"Run590"
"778","RNA023479",12920155,67.01,"Run590"
"779","RNA023480",9687546,50.58,"Run590"
"780","RNA023481",7643530,40.96,"Run590"
"781","RNA023482",12235703,57.71,"Run590"
"782","RNA023483",10689752,56.69,"Run590"
"783","RNA023484",12236717,60.03,"Run590"
"784","RNA023485",14201048,67.43,"Run590"
"785","RNA023486",14026850,62.56,"Run590"
"786","RNA023487",14123776,71.11,"Run590"
"787","RNA023488",13693904,63.19,"Run590"
"788","RNA023489",13017409,65.39,"Run590"
"789","RNA023490",16761806,76.17,"Run590"
"790","RNA023491",16050013,68.61,"Run590"
"791","RNA023492",12105582,58.24,"Run590"
"792","RNA023493",14511817,63.89,"Run590"
"793","RNA023494",12578462,56.62,"Run590"
"794","RNA023495",11328567,53.14,"Run590"
"795","RNA023496",12563469,63.59,"Run590"
"796","RNA023497",13042486,62.38,"Run590"
"797","RNA023498",10711566,63.39,"Run590"
"798","RNA023499",10033346,52.47,"Run590"
"799","RNA023500",11918788,58.04,"Run590"
"800","RNA023501",9804759,51.04,"Run590"
"801","RNA023502",13498365,61.99,"Run590"
"802","RNA023503",14286926,68.02,"Run590"
"803","RNA023504",12457736,68.31,"Run590"
"804","RNA023505",11231065,63.78,"Run590"
"805","RNA023506",11525207,65.02,"Run590"
"806","RNA023507",11964234,63.65,"Run590"
"807","RNA023508",12008773,60.09,"Run590"
"808","RNA023509",14760036,61.15,"Run590"
"809","RNA023510",12163597,57.58,"Run590"
"810","RNA023511",12369583,62.11,"Run590"
"811","RNA023512",15917680,66.05,"Run590"
"812","RNA023513",15000197,63.88,"Run590"
"813","RNA023514",15032800,73.58,"Run590"
"814","RNA023515",9508877,52.13,"Run590"
"815","RNA023516",13296787,58.52,"Run590"
"816","RNA023517",13781125,61.52,"Run590"
"817","RNA023518",12036064,57.28,"Run590"
"818","RNA023519",13605985,59.36,"Run590"
"819","RNA023520",13173171,69.97,"Run590"
"820","RNA023521",12813346,69.92,"Run590"
"821","RNA023522",11592346,64.94,"Run590"
"822","RNA023524",7376069,32.44,"Run590"
"823","RNA023525",6147105,31.81,"Run590"
"824","RNA023526",12906739,66.03,"Run590"
"825","RNA023527",11524757,65.1,"Run590"
"826","RNA023528",13335926,63.37,"Run590"
"827","RNA023529",11043945,52.05,"Run590"
"828","RNA023530",13195637,62.37,"Run590"
"829","RNA023531",10111502,62.8,"Run590"
"830","RNA023532",10962393,48.18,"Run590"
"831","RNA023533",14572633,69.05,"Run590"
"832","RNA023534",13519145,61.27,"Run590"
"833","RNA023535",8668106,51.4,"Run590"
"834","RNA023536",11045084,53.98,"Run590"
"835","RNA023537",10904761,57.18,"Run590"
"836","RNA023538",12199376,59.15,"Run590"
"837","RNA023539",14447485,70.21,"Run590"
"838","RNA023540",14633278,62.38,"Run590"
"839","RNA023541",12296261,60.96,"Run590"
"840","RNA023542",11098054,55.46,"Run590"
"841","RNA023543",14259075,73.06,"Run590"
"842","RNA023544",11198081,55.84,"Run590"
"843","RNA023545",10709915,64.21,"Run590"
"844","RNA023546",13806870,65.52,"Run590"
"845","RNA023547",13761214,68.51,"Run590"
"846","RNA023549",12154998,57.71,"Run590"
"847","RNA023550",13919432,67.79,"Run590"
"848","RNA023551",12183453,65.28,"Run590"
"849","RNA023552",13568042,68.81,"Run590"
"850","RNA023553",9032900,46.14,"Run590"
"851","RNA023554",12695607,60.07,"Run590"
"852","RNA023555",11534495,60.64,"Run590"
"853","RNA023556",11882846,57.62,"Run590"
"854","RNA023559",11824421,59,"Run590"
"855","RNA023560",10678437,54.78,"Run590"
"856","RNA023561",13437126,63.68,"Run590"
"857","RNA023562",13163946,61.28,"Run590"
"858","RNA023563",15213727,69.67,"Run590"
"859","RNA023564",15688830,66.53,"Run590"
"860","RNA023565",11272955,54.66,"Run590"
"861","RNA023567",13178805,67.7,"Run590"
"862","RNA023568",12418578,62.79,"Run590"
"863","RNA023569",13187946,59.92,"Run590"
"864","RNA023570",15748088,60.31,"Run590"
"865","RNA023571",12445719,55.04,"Run590"
"866","RNA023572",12510510,60.81,"Run590"
"867","RNA023573",12249572,60.46,"Run590"
"868","RNA023576",15228069,61.52,"Run598"
"869","RNA023577",13400973,61.75,"Run598"
"870","RNA023578",13561565,62.75,"Run598"
"871","RNA023579",12760648,55.11,"Run598"
"872","RNA023580",12107316,57.11,"Run598"
"873","RNA023581",18488748,72.77,"Run598"
"874","RNA023582",14098613,67.14,"Run598"
"875","RNA023583",11661580,58.96,"Run598"
"876","RNA023585",12298344,59.06,"Run598"
"877","RNA023586",12680804,60.09,"Run598"
"878","RNA023587",15258967,53.29,"Run598"
"879","RNA023588",12969369,50.27,"Run598"
"880","RNA023590",13354927,63.12,"Run598"
"881","RNA023591",13264752,67.58,"Run598"
"882","RNA023592",13215918,54.52,"Run598"
"883","RNA023593",16459473,65.94,"Run598"
"884","RNA023594",14220767,65.76,"Run598"
"885","RNA023595",20197065,65.75,"Run598"
"886","RNA023596",14447360,64.04,"Run598"
"887","RNA023597",19442160,67.51,"Run598"
"888","RNA023598",16398791,58.36,"Run598"
"889","RNA023599",13533051,53.22,"Run598"
"890","RNA023601",17120542,67.46,"Run598"
"891","RNA023602",16030395,63.21,"Run598"
"892","RNA023603",17793251,68.51,"Run598"
"893","RNA023605",15214620,63.71,"Run598"
"894","RNA023606",14191750,65.64,"Run598"
"895","RNA023607",11487508,53.55,"Run598"
"896","RNA023608",16495936,73.39,"Run598"
"897","RNA023609",15602520,53.89,"Run598"
"898","RNA023610",10209548,50.4,"Run598"
"899","RNA023611",13976565,61.51,"Run598"
"900","RNA023613",15610005,55.23,"Run598"
"901","RNA023614",9500310,35.71,"Run598"
"902","RNA023615",11851891,52.78,"Run598"
"903","RNA023617",17307718,72.11,"Run598"
"904","RNA023618",14581596,53.83,"Run598"
"905","RNA023619",14505070,58.82,"Run598"
"906","RNA023620",15747543,66.66,"Run598"
"907","RNA023621",16129681,60.4,"Run598"
"908","RNA023622",12884926,53.34,"Run598"
"909","RNA023623",12490378,57.71,"Run598"
"910","RNA023624",12379641,55.83,"Run598"
"911","RNA023625",18571983,65.83,"Run598"
"912","RNA023626",13523011,61.76,"Run598"
"913","RNA023629",9857912,56.92,"Run598"
"914","RNA023630",13290733,53.46,"Run598"
"915","RNA023631",12189754,45.96,"Run598"
"916","RNA023632",16143690,61.25,"Run598"
"917","RNA023633",8998330,38.86,"Run598"
"918","RNA023634",8704670,39.85,"Run598"
"919","RNA023635",13483776,58.96,"Run598"
"920","RNA023636",5395198,21.41,"Run598"
"921","RNA023637",11350441,44.49,"Run598"
"922","RNA023638",12251072,48.84,"Run598"
"923","RNA023640",12028770,53.55,"Run598"
"924","RNA023641",10873018,37.37,"Run598"
"925","RNA023642",14555790,58.31,"Run598"
"926","RNA023643",13908403,58.48,"Run598"
"927","RNA023644",14055786,54.5,"Run598"
"928","RNA023645",17333985,60.87,"Run598"
"929","RNA023646",13147628,48.1,"Run598"
"930","RNA023647",9683318,56.57,"Run598"
"931","RNA023654",13145904,50.85,"Run598"
"932","RNA023523",12174698,60.05,"Run590"
"933","RNA023575",15090129,58.21,"Run598"
"934","RNA023639",13572667,58.13,"Run598"
